"DATE_GMT","TIME_GMT","SETTLEMENT_DATE","SETTLEMENT_PERIOD","EMBEDDED_WIND_FORECAST","EMBEDDED_WIND_CAPACITY","EMBEDDED_SOLAR_FORECAST","EMBEDDED_SOLAR_CAPACITY"
"2025-02-12T00:00:00","13:30","2025-02-12T00:00:00",27,1423,6606,2097,18720
"2025-02-12T00:00:00","14:00","2025-02-12T00:00:00",28,1402,6606,1972,18720
"2025-02-12T00:00:00","14:30","2025-02-12T00:00:00",29,1402,6606,1669,18720
"2025-02-12T00:00:00","15:00","2025-02-12T00:00:00",30,1295,6606,1266,18720
"2025-02-12T00:00:00","15:30","2025-02-12T00:00:00",31,1295,6606,859,18720
"2025-02-12T00:00:00","16:00","2025-02-12T00:00:00",32,1205,6606,493,18720
"2025-02-12T00:00:00","16:30","2025-02-12T00:00:00",33,1205,6606,199,18720
"2025-02-12T00:00:00","17:00","2025-02-12T00:00:00",34,1250,6606,20,18720
"2025-02-12T00:00:00","17:30","2025-02-12T00:00:00",35,1250,6606,0,18720
"2025-02-12T00:00:00","18:00","2025-02-12T00:00:00",36,1321,6606,0,18720
"2025-02-12T00:00:00","18:30","2025-02-12T00:00:00",37,1321,6606,0,18720
"2025-02-12T00:00:00","19:00","2025-02-12T00:00:00",38,1382,6606,0,18720
"2025-02-12T00:00:00","19:30","2025-02-12T00:00:00",39,1382,6606,0,18720
"2025-02-12T00:00:00","20:00","2025-02-12T00:00:00",40,1396,6606,0,18720
"2025-02-12T00:00:00","20:30","2025-02-12T00:00:00",41,1396,6606,0,18720
"2025-02-12T00:00:00","21:00","2025-02-12T00:00:00",42,1385,6606,0,18720
"2025-02-12T00:00:00","21:30","2025-02-12T00:00:00",43,1385,6606,0,18720
"2025-02-12T00:00:00","22:00","2025-02-12T00:00:00",44,1310,6606,0,18720
"2025-02-12T00:00:00","22:30","2025-02-12T00:00:00",45,1310,6606,0,18720
"2025-02-12T00:00:00","23:00","2025-02-12T00:00:00",46,1207,6606,0,18720
"2025-02-12T00:00:00","23:30","2025-02-12T00:00:00",47,1207,6606,0,18720
"2025-02-13T00:00:00","00:00","2025-02-12T00:00:00",48,1122,6606,0,18720
"2025-02-13T00:00:00","00:30","2025-02-13T00:00:00",1,1122,6606,0,18722
"2025-02-13T00:00:00","01:00","2025-02-13T00:00:00",2,1055,6606,0,18722
"2025-02-13T00:00:00","01:30","2025-02-13T00:00:00",3,1055,6606,0,18722
"2025-02-13T00:00:00","02:00","2025-02-13T00:00:00",4,1028,6606,0,18722
"2025-02-13T00:00:00","02:30","2025-02-13T00:00:00",5,1028,6606,0,18722
"2025-02-13T00:00:00","03:00","2025-02-13T00:00:00",6,1030,6606,0,18722
"2025-02-13T00:00:00","03:30","2025-02-13T00:00:00",7,1030,6606,0,18722
"2025-02-13T00:00:00","04:00","2025-02-13T00:00:00",8,1016,6606,0,18722
"2025-02-13T00:00:00","04:30","2025-02-13T00:00:00",9,1016,6606,0,18722
"2025-02-13T00:00:00","05:00","2025-02-13T00:00:00",10,1058,6606,0,18722
"2025-02-13T00:00:00","05:30","2025-02-13T00:00:00",11,1058,6606,0,18722
"2025-02-13T00:00:00","06:00","2025-02-13T00:00:00",12,1147,6606,0,18722
"2025-02-13T00:00:00","06:30","2025-02-13T00:00:00",13,1147,6606,0,18722
"2025-02-13T00:00:00","07:00","2025-02-13T00:00:00",14,1214,6606,0,18722
"2025-02-13T00:00:00","07:30","2025-02-13T00:00:00",15,1214,6606,0,18722
"2025-02-13T00:00:00","08:00","2025-02-13T00:00:00",16,1231,6606,165,18722
"2025-02-13T00:00:00","08:30","2025-02-13T00:00:00",17,1231,6606,598,18722
"2025-02-13T00:00:00","09:00","2025-02-13T00:00:00",18,1176,6606,1193,18722
"2025-02-13T00:00:00","09:30","2025-02-13T00:00:00",19,1176,6606,1807,18722
"2025-02-13T00:00:00","10:00","2025-02-13T00:00:00",20,1232,6606,2386,18722
"2025-02-13T00:00:00","10:30","2025-02-13T00:00:00",21,1232,6606,2899,18722
"2025-02-13T00:00:00","11:00","2025-02-13T00:00:00",22,1385,6606,3340,18722
"2025-02-13T00:00:00","11:30","2025-02-13T00:00:00",23,1385,6606,3694,18722
"2025-02-13T00:00:00","12:00","2025-02-13T00:00:00",24,1470,6606,3898,18722
"2025-02-13T00:00:00","12:30","2025-02-13T00:00:00",25,1470,6606,3905,18722
"2025-02-13T00:00:00","13:00","2025-02-13T00:00:00",26,1466,6606,3802,18722
"2025-02-13T00:00:00","13:30","2025-02-13T00:00:00",27,1466,6606,3663,18722
"2025-02-13T00:00:00","14:00","2025-02-13T00:00:00",28,1488,6606,3383,18722
"2025-02-13T00:00:00","14:30","2025-02-13T00:00:00",29,1488,6606,2870,18722
"2025-02-13T00:00:00","15:00","2025-02-13T00:00:00",30,1512,6606,2256,18722
"2025-02-13T00:00:00","15:30","2025-02-13T00:00:00",31,1512,6606,1685,18722
"2025-02-13T00:00:00","16:00","2025-02-13T00:00:00",32,1431,6606,1118,18722
"2025-02-13T00:00:00","16:30","2025-02-13T00:00:00",33,1431,6606,526,18722
"2025-02-13T00:00:00","17:00","2025-02-13T00:00:00",34,1471,6606,89,18722
"2025-02-13T00:00:00","17:30","2025-02-13T00:00:00",35,1471,6606,0,18722
"2025-02-13T00:00:00","18:00","2025-02-13T00:00:00",36,1606,6606,0,18722
"2025-02-13T00:00:00","18:30","2025-02-13T00:00:00",37,1606,6606,0,18722
"2025-02-13T00:00:00","19:00","2025-02-13T00:00:00",38,1683,6606,0,18722
"2025-02-13T00:00:00","19:30","2025-02-13T00:00:00",39,1683,6606,0,18722
"2025-02-13T00:00:00","20:00","2025-02-13T00:00:00",40,1757,6606,0,18722
"2025-02-13T00:00:00","20:30","2025-02-13T00:00:00",41,1757,6606,0,18722
"2025-02-13T00:00:00","21:00","2025-02-13T00:00:00",42,1827,6606,0,18722
"2025-02-13T00:00:00","21:30","2025-02-13T00:00:00",43,1827,6606,0,18722
"2025-02-13T00:00:00","22:00","2025-02-13T00:00:00",44,1880,6606,0,18722
"2025-02-13T00:00:00","22:30","2025-02-13T00:00:00",45,1880,6606,0,18722
"2025-02-13T00:00:00","23:00","2025-02-13T00:00:00",46,1887,6606,0,18722
"2025-02-13T00:00:00","23:30","2025-02-13T00:00:00",47,1887,6606,0,18722
"2025-02-14T00:00:00","00:00","2025-02-13T00:00:00",48,1915,6606,0,18722
"2025-02-14T00:00:00","00:30","2025-02-14T00:00:00",1,1915,6606,0,18723
"2025-02-14T00:00:00","01:00","2025-02-14T00:00:00",2,1935,6606,0,18723
"2025-02-14T00:00:00","01:30","2025-02-14T00:00:00",3,1935,6606,0,18723
"2025-02-14T00:00:00","02:00","2025-02-14T00:00:00",4,1960,6606,0,18723
"2025-02-14T00:00:00","02:30","2025-02-14T00:00:00",5,1960,6606,0,18723
"2025-02-14T00:00:00","03:00","2025-02-14T00:00:00",6,1995,6606,0,18723
"2025-02-14T00:00:00","03:30","2025-02-14T00:00:00",7,1995,6606,0,18723
"2025-02-14T00:00:00","04:00","2025-02-14T00:00:00",8,2037,6606,0,18723
"2025-02-14T00:00:00","04:30","2025-02-14T00:00:00",9,2037,6606,0,18723
"2025-02-14T00:00:00","05:00","2025-02-14T00:00:00",10,2104,6606,0,18723
"2025-02-14T00:00:00","05:30","2025-02-14T00:00:00",11,2104,6606,0,18723
"2025-02-14T00:00:00","06:00","2025-02-14T00:00:00",12,2176,6606,0,18723
"2025-02-14T00:00:00","06:30","2025-02-14T00:00:00",13,2176,6606,0,18723
"2025-02-14T00:00:00","07:00","2025-02-14T00:00:00",14,2240,6606,0,18723
"2025-02-14T00:00:00","07:30","2025-02-14T00:00:00",15,2240,6606,19,18723
"2025-02-14T00:00:00","08:00","2025-02-14T00:00:00",16,2285,6606,181,18723
"2025-02-14T00:00:00","08:30","2025-02-14T00:00:00",17,2285,6606,581,18723
